SCHL,gmajor,fod1p,_TYPE_,_FREQ_,p50adj_wagp,p25adj_wagp,p75adj_wagp,pop,meanadj_wagp,mean_grad_degree,mean_grad_degree_all,mean_employed_all,pct_ts,pct_tsg,p50r,p25r,p75r,pct_ts_all,pct_tsg_all
,Law and public policy,,2,51739,56780.111169,38530.798816,84653.983924,5536105,69272.551601,0.2484447098,0.2454839493,0.9564737169,0.0244264104,1,57000,39000,85000,0.0226589524,1
,Physical sciences,,2,71393,76307.555562,46456.454593,120149.52195,7421141,100850.83426,0.5234531994,0.5030978345,0.9647412872,0.0327435689,1,76000,46000,120000,0.0315021645,1
,Psychology and social work,,2,125375,51634.554752,35228.158917,77061.597632,12851571,65847.691057,0.4781143877,0.4551007473,0.9546393486,0.0567037199,1,52000,35000,77000,0.0614073602,1
,Social sciences,,2,169466,66286.817197,41816.540448,108701.87305,17122219,94802.903929,0.4287215343,0.4130297939,0.9541469729,0.0755466791,1,66000,42000,109000,0.0756220353,1
,Agriculture and natural resources,General agriculture,3,6076,52064.792845,30523.022225,81526.404787,562228,64888.700445,0.2535626116,0.250782495,0.9726049859,0.0024806632,0.1675460259,52000,31000,82000,0.0023026255,0.1687892437
,Agriculture and natural resources,Agricultural economics,3,2542,66133.214821,36627.62667,103482.71682,200791,86412.286287,0.2658684901,0.2725011139,0.9781297813,0.0008859303,0.0598364615,66000,37000,103000,0.0007601967,0.0557246587
,Agriculture and natural resources,Animal sciences,3,7734,54350.936525,32610.561915,85355.080305,648839,67464.44161,0.3849028804,0.3681407484,0.9781711333,0.0028628084,0.1933564246,54000,33000,85000,0.0026488112,0.1941656796
,Agriculture and natural resources,Food science,3,1542,71557.197801,45654.786681,109135.81577,150516,89552.397947,0.4137633208,0.4103692823,0.9649420065,0.0006641069,0.0448543254,72000,46000,109000,0.0006960785,0.051024612
,Agriculture and natural resources,Plant science and agronomy,3,4885,53066.038861,33026.398985,82193.781034,424386,64985.97691,0.2577370601,0.2624720888,0.9729255487,0.0018724765,0.1264685995,53000,33000,82000,0.0017430849,0.1277732667
,Agriculture and natural resources,Soil science,3,406,68168.082969,42052.332682,93603.934823,33467,75362.370603,0.3488809872,0.3594758065,0.9578317648,0.0001476631,0.0099732899,68000,42000,94000,0.0001400035,0.0102626729
,Agriculture and natural resources,Miscellaneous agriculture,3,6598,55043.998309,34893.959227,83700.442248,540433,68605.322081,0.170922205,0.1755688944,0.9772166949,0.0023844993,0.1610510352,55000,35000,84000,0.0020805831,0.1525128835
,Agriculture and natural resources,Forestry,3,3676,63047.086369,43480.74922,91373.037192,315749,74398.517932,0.2622462779,0.2645352779,0.969150357,0.0013931482,0.0940943712,63000,43000,91000,0.0012489859,0.0915543535
,Agriculture and natural resources,Natural resources management,3,5432,56976.308153,39631.678782,82858.521496,479254,70157.873035,0.2909647076,0.2821237977,0.9613367812,0.0021145652,0.1428194667,57000,40000,83000,0.0020216461,0.1481926293
,Architecture and engineering,Architecture,3,16780,66052.79797,42052.332682,96946.510964,1682646,79204.427929,0.3533001,0.3459462345,0.939704145,0.0074241731,0.0759147315,66000,42000,97000,0.0074608559,0.0856623601
,Architecture and engineering,General engineering,3,27520,86481.896304,55068.530894,121096.79628,3413281,100892.98908,0.3709132064,0.3615408785,0.9647537406,0.0150600833,0.1539945482,86000,55000,121000,0.0134253957,0.1541446582
,Architecture and engineering,Aerospace engineering,3,5094,100725.97334,70200.864718,133703.30385,496231,111752.08008,0.4898907968,0.481241906,0.9743906277,0.0021894711,0.0223880977,101000,70000,134000,0.0018744354,0.0215214668
,Architecture and engineering,Architectural engineering,3,980,78342.423711,55747.745511,110087.99662,96428,92032.901187,0.2898120878,0.2832961415,0.9559651048,0.0004254598,0.0043504728,78000,56000,110000,0.0003864995,0.0044376219
,Architecture and engineering,Biomedical engineering,3,4179,76307.555562,48915.842872,115914.30659,403455,99668.965631,0.5420505385,0.5314356152,0.9674390892,0.0017801247,0.0182023896,76000,49000,116000,0.00169706,0.0194849175
,Architecture and engineering,Chemical engineering,3,14045,101743.40742,68494.817529,142440.77038,1368591,122593.75647,0.4937844835,0.4872074502,0.9698983114,0.0060384992,0.0617457375,102000,68000,142000,0.0054324793,0.0623734066
,Architecture and engineering,Civil engineering,3,23201,87751.080897,61046.04445,119572.06035,2207257,101531.82336,0.3663592414,0.3663214525,0.9644249553,0.0097388625,0.0995832293,88000,61000,120000,0.0085090352,0.0976971071
,Architecture and engineering,Electrical engineering,3,49266,101743.40742,71220.385192,135877.34131,4893973,115469.29936,0.4393722646,0.4324371006,0.9647608895,0.0215931947,0.2207978661,102000,71000,136000,0.0189932463,0.2180723397
,Architecture and engineering,"Engineering mechanics, physics, and science",3,1545,93603.934823,57957.153294,132573.63439,151082,110113.85306,0.5333527488,0.517589547,0.9714028609,0.0006666042,0.0068162581,94000,58000,133000,0.0005883128,0.0067547565
,Architecture and engineering,Environmental engineering,3,1254,81394.725933,57611.992716,110478.02866,117382,93398.844993,0.5173876744,0.5015526369,0.968497264,0.000517913,0.0052958394,81000,58000,110000,0.0004928727,0.0056589536
,Architecture and engineering,Geological and geophysical engineering,3,365,100124.60162,65221.12383,141312.43496,34106,127021.83025,0.4101037941,0.3911293059,0.989694066,0.0001504825,0.0015387359,100000,65000,141000,0.0001386644,0.0015920848
,Architecture and engineering,Industrial and manufacturing engineering,3,9370,89110.895446,60873.048908,123883.87891,917036,107176.08002,0.4057714201,0.4020030439,0.9608419217,0.0040461476,0.0413732548,89000,61000,124000,0.0036598005,0.0420202657
,Architecture and engineering,Mechanical engineering,3,38866,94977.6405,67103.767745,128559.50367,3807851,110092.74418,0.4009736726,0.3989974389,0.9706751409,0.0168010056,0.1717960796,95000,67000,129000,0.0143168331,0.1643797619
,Architecture and engineering,Metallurgical engineering,3,783,104954.12723,71220.385192,138097.53583,72772,119803.31082,0.5740257242,0.5565879213,0.9711590524,0.0003210847,0.0032832021,105000,71000,138000,0.0002855677,0.0032787664
,Architecture and engineering,Mining and mineral engineering,3,712,101639.78637,69185.517043,143621.43726,64637,122476.66507,0.3590977304,0.3561989645,0.9634465479,0.0002851915,0.0029161811,102000,69000,144000,0.0002435071,0.002795844
,Architecture and engineering,Petroleum engineering,3,1105,136989.63506,87751.080897,244184.1778,107189,182511.21351,0.3169075185,0.3008474576,0.97056737,0.0004729395,0.0048359692,137000,88000,244000,0.0004115301,0.0047250131
,Architecture and engineering,Miscellaneous engineering,3,3803,81394.725933,51618.282881,113560.22234,378154,96085.212203,0.3178969415,0.3224902552,0.9614441731,0.0016684916,0.0170609025,81000,52000,114000,0.0015054113,0.0172844894
,Architecture and engineering,Engineering technologies,3,2109,70087.221137,44191.211465,101161.57666,228584,81576.761077,0.2248845064,0.2256598108,0.9612314839,0.0010085587,0.0103128602,70000,44000,101000,0.0009024144,0.0103611368
,Architecture and engineering,Engineering and industrial management,3,1927,85105.911381,55239.014331,126451.97082,180795,104700.2944,0.3263364584,0.32529781,0.955078728,0.000797704,0.0081567982,85000,55000,126000,0.0007234896,0.0083067989
,Architecture and engineering,Industrial production technologies,3,4442,76091.311135,51618.282881,105301.29708,424345,86560.969185,0.1788733224,0.179671125,0.9589782233,0.0018722956,0.0191448687,76000,52000,105000,0.0016250008,0.0186575649
,Architecture and engineering,Mechanical engineering related technologies,3,1742,71656.116799,49553.551565,99079.196955,168765,80701.768484,0.1749000089,0.1765364157,0.9606418376,0.0007446252,0.0076140493,72000,50000,99000,0.0006473972,0.0074331381
,Architecture and engineering,Miscellaneous engineering technologies,3,9086,75362.693006,50062.300812,103266.7794,950387,83055.416867,0.2213708731,0.2214073872,0.9569225699,0.0041932989,0.0428779279,75000,50000,103000,0.0037762725,0.0433575479
,Arts,Fine arts,3,22022,46057.316747,27521.999154,71810.71863,2341756,57664.831694,0.219182955,0.2193052369,0.9400771455,0.0103322992,0.2957540101,46000,28000,72000,0.0122223908,0.3007134918
,Arts,Drama and theater arts,3,7924,45056.070731,28622.87912,68494.817529,819561,57431.807775,0.2720053785,0.2650269908,0.9347541266,0.0036160682,0.1035071341,45000,29000,68000,0.0042377479,0.1042633959
,Arts,Music,3,13726,48727.659039,29112.711545,73297.96169,1431032,59286.532262,0.4245851945,0.4314265739,0.9616713409,0.0063140014,0.1807333696,49000,29000,73000,0.0076082893,0.187190483
,Arts,Visual and performing arts,3,2348,43480.74922,25435.851854,66052.79797,244258,53762.747174,0.2663249515,0.2538484097,0.9400882983,0.0010777155,0.0308487661,43000,25000,66000,0.0013475278,0.0331538898
,Arts,Commercial art and graphic design,3,19778,48438.718512,31523.543184,72265.596033,2139393,59222.059046,0.098226927,0.0976058195,0.9416991029,0.0094394329,0.2701964077,48000,32000,72000,0.0104309476,0.2566377342
,Arts,"Film, video, and photographic arts",3,5328,46400.772038,26962.002965,72265.596033,597099,60943.620726,0.1518140208,0.1553876944,0.9271126414,0.0026345211,0.0754111119,46000,27000,72000,0.0029445624,0.0724465171
,Arts,Studio arts,3,3703,41833.438715,25290.394164,63851.038038,344819,50262.387612,0.2798772689,0.2768674625,0.9399791159,0.0015214109,0.0435492007,42000,25000,64000,0.0018531714,0.0455944884
,Biology and life sciences,Environmental science,3,7160,59447.518173,39772.090318,86481.896304,690823,70808.681325,0.3227425838,0.3122567392,0.9573944589,0.0030480502,0.0590527563,59000,40000,86000,0.0030442804,0.0592063557
,Biology and life sciences,Biology,3,75455,71656.116799,45056.070731,123883.87891,7459281,108087.12187,0.6264323599,0.5888270249,0.9700085857,0.0329118503,0.6376323642,72000,45000,124000,0.0326512943,0.6350151345
,Biology and life sciences,Biochemical sciences,3,8711,77978.71534,48059.80878,137609.99577,876032,117508.27952,0.7175982156,0.6767799219,0.9699575983,0.0038652296,0.074884745,78000,48000,138000,0.0037901317,0.0737119635
,Biology and life sciences,Botany,3,1055,57245.758241,38662.494818,92912.909185,99868,72959.737649,0.6191973405,0.5869661029,0.9672872653,0.0004406377,0.008536891,57000,39000,93000,0.0004767742,0.0092724902
,Biology and life sciences,Molecular biology,3,3044,71220.385192,46365.722635,126161.8252,293500,107665.95369,0.6917853492,0.6466421069,0.9671633222,0.0012949811,0.0250888925,71000,46000,126000,0.0013042409,0.0253653865
,Biology and life sciences,Ecology,3,3014,54795.854023,35228.158917,81394.725933,279260,67720.42285,0.375649932,0.3639595133,0.96392346,0.0012321514,0.0238716324,55000,35000,81000,0.0012608128,0.0245207804
,Biology and life sciences,Microbiology,3,5688,73297.96169,46400.772038,119039.78668,569796,103251.87492,0.6070979789,0.5681924018,0.9654970913,0.0025140547,0.048707157,73000,46000,119000,0.0025255617,0.0491181104
,Biology and life sciences,Zoology,3,5077,77334.620063,45311.956211,140174.44227,480912,118006.84888,0.6588897761,0.6223460334,0.9712268849,0.0021218806,0.0411091975,77000,45000,140000,0.002079407,0.0404411202
,Biology and life sciences,Neuroscience,3,1060,57993.742227,42052.332682,97831.685745,112908,92346.511214,0.7216494845,0.6551828419,0.9612437173,0.0004981728,0.009651573,58000,42000,98000,0.0005289117,0.0102864811
,Biology and life sciences,Miscellaneous biology,3,8252,65221.12383,41294.626305,105376.64235,836024,91654.22946,0.618260959,0.5870463765,0.9712905008,0.0036887063,0.0714647913,65000,41000,105000,0.003756721,0.0730621774
,Business,General business,3,95218,66133.214821,41294.626305,104583.59679,11075336,88300.930587,0.2331107607,0.228573642,0.9596166464,0.0488666133,0.2099526996,66000,41000,105000,0.045989699,0.210676326
,Business,Accounting,3,94843,71220.385192,45654.786681,108701.87305,9662255,93648.990972,0.2684137399,0.2566450037,0.9606533705,0.0426318153,0.183165235,71000,46000,109000,0.039746369,0.1820759686
,Business,Actuarial science,3,608,91569.066675,58844.842484,139388.46816,61857,120127.59988,0.2143653911,0.2210029117,0.9663501149,0.0002729255,0.0011726095,92000,59000,139000,0.000242356,0.0011102199
,Business,Business management and administration,3,160180,63225.985411,41294.626305,97673.67112,16008946,80913.183847,0.216830702,0.211965957,0.9542581307,0.0706346944,0.3034780553,63000,41000,98000,0.0660211606,0.3024393691
,Business,Operations logistics and e-commerce,3,3627,74092.205202,50871.703708,103778.27556,371249,86921.674293,0.2356881769,0.2369753733,0.9638154738,0.0016380254,0.0070376853,74000,51000,104000,0.0014274998,0.0065392996
,Business,Business economics,3,4419,79032.481764,49553.551565,122092.0889,422806,106456.39848,0.299059143,0.2991995139,0.9559396543,0.0018655052,0.00801504,79000,50000,122000,0.0017137199,0.0078504582
,Business,Marketing and marketing research,3,52851,62063.478524,40732.558748,99430.225796,5604831,82500.119434,0.1599534402,0.1580187313,0.955145831,0.0247296434,0.106249544,62000,41000,99000,0.0240942553,0.1103744812
,Business,Finance,3,50616,77334.620063,49553.551565,121096.79628,5345458,106324.02618,0.2936928884,0.2880840653,0.9617496626,0.0235852374,0.1013326673,77000,50000,121000,0.0213163987,0.0976492704
,Business,Human resources and personnel management,3,10486,60762.915764,40732.558748,89135.535901,1102115,75379.397541,0.2986866162,0.2892758035,0.9506122361,0.0048627534,0.0208925508,61000,41000,89000,0.0046484469,0.0212942841
,Business,International business,3,4940,62974.305114,40697.362967,96656.237046,531078,80040.654334,0.293749694,0.2874104802,0.9479446589,0.0023432231,0.0100675284,63000,41000,97000,0.0024042409,0.0110136978
,Business,Hospitality management,3,9080,50871.703708,34042.364552,77334.620063,973511,66152.420531,0.1136689775,0.1164950319,0.9531149367,0.0042953266,0.0184546331,51000,34000,77000,0.0043337432,0.0198526432
,Business,Management information systems and statistics,3,10825,81140.014611,54350.936525,110137.06179,1070126,91951.832373,0.2180696479,0.2173910067,0.9652535784,0.0047216115,0.0202861423,81000,54000,110000,0.0041233835,0.0188889968
,Business,Miscellaneous business and medical administration,3,5076,59658.135477,37120.61763,92912.909185,522009,76699.978081,0.2033030082,0.1933774946,0.9518996559,0.0023032089,0.0098956094,60000,37000,93000,0.0022342514,0.010234985
,Communications and journalism,Communications and mass media,3,61321,55043.998309,36881.824823,85105.911381,6500159,71261.050902,0.2132332455,0.2103351954,0.9490104692,0.0286800108,0.6832668776,55000,37000,85000,0.0294179025,0.6844405479
,Communications and journalism,Journalism,3,20380,56780.111169,37562.529745,89135.535901,2077284,74131.205556,0.2410382981,0.2314693485,0.9526308089,0.0091653954,0.2183545591,57000,38000,89000,0.0093631509,0.2178442234
,Communications and journalism,Advertising and public relations,3,9065,55043.998309,37681.346503,83963.301783,935910,69992.907649,0.1714224658,0.1657625985,0.9524743804,0.0041294234,0.0983785633,55000,38000,84000,0.004199893,0.0977152287
,"Computers, statistics, and mathematics",Computer and information systems,3,16903,71810.71863,49539.598478,101171.83445,1826349,80333.870708,0.2323192336,0.2346496971,0.956684937,0.0080582197,0.1355239042,72000,50000,101000,0.0072813384,0.1311312445
,"Computers, statistics, and mathematics",Computer science,3,53799,88382.422929,59786.030177,121096.79628,5810325,99221.190173,0.3144393816,0.3136152584,0.9617669632,0.0256363243,0.431154138,88000,60000,121000,0.0233616296,0.4207247924
,"Computers, statistics, and mathematics",Information sciences,3,5466,77324.989637,52688.321176,106430.40878,566942,86527.495685,0.2629563518,0.2684484619,0.9612285895,0.0025014623,0.0420698307,77000,53000,106000,0.002228857,0.0401399826
,"Computers, statistics, and mathematics",Computer engineering,3,12608,93574.797125,66082.237072,123883.87891,1317821,104709.28716,0.3766953175,0.3668171368,0.9645754014,0.0058144917,0.097788674,94000,66000,124000,0.0052274764,0.0941427862
,"Computers, statistics, and mathematics",Miscellaneous computer,3,9967,60548.398139,39631.678782,89570.145999,1058359,71707.045551,0.1764939874,0.175998416,0.9421963354,0.0046696931,0.0785353422,61000,40000,90000,0.004482729,0.0807304655
,"Computers, statistics, and mathematics",Mathematics,3,26045,79263.357564,50002.861603,118895.03635,2559453,100598.53898,0.4959735537,0.488009452,0.9653027211,0.0112928222,0.1899237568,79000,50000,119000,0.0114674317,0.2065195327
,"Computers, statistics, and mathematics",Applied mathematics,3,1659,92801.544076,56976.308153,131110.43852,155432,110841.75525,0.5155309074,0.5016975907,0.9524514348,0.0006857973,0.011533804,93000,57000,131000,0.0006715622,0.012094314
,"Computers, statistics, and mathematics",Statistics and decision science,3,1810,84787.460979,54795.854023,121525.83153,181532,104316.69113,0.5144382258,0.5053381475,0.9587561523,0.0008009557,0.0134705499,85000,55000,122000,0.0008060804,0.0145168821
,Education,General education,3,58309,50819.893184,37046.102601,69185.517043,6795668,57344.728529,0.4657796702,0.4409471217,0.9692684237,0.0299838561,0.3203072158,51000,37000,69000,0.0329882343,0.3102228782
,Education,Elementary education,3,64561,48915.842872,37046.102601,63225.985411,5644406,52869.83457,0.4691724869,0.433835304,0.9750519704,0.0249042562,0.2660435988,49000,37000,63000,0.0304041152,0.2859217024
,Education,Mathematics teacher education,3,4260,55043.998309,41981.650891,73763.649646,378902,62431.778596,0.551055418,0.5253698901,0.9813399845,0.0016717919,0.017859178,55000,42000,74000,0.0018295458,0.0172051336
,Education,Physical and health education teaching,3,14384,55068.530894,38778.604385,77061.597632,1344336,64656.898037,0.3937319242,0.3843838458,0.9703387861,0.0059314812,0.0633639727,55000,39000,77000,0.0062433771,0.058713006
,Education,Early childhood education,3,8137,42934.318681,31612.992706,56144.878275,790408,46667.45255,0.3875150555,0.3523391813,0.9662923547,0.0034874393,0.037255114,43000,32000,56000,0.0042432364,0.0399035909
,Education,Science and computer teacher education,3,3438,55239.014331,41294.626305,75125.05949,305381,63587.989543,0.5255729728,0.509359225,0.9724396728,0.0013474025,0.0143938371,55000,41000,75000,0.0014600325,0.0137302127
,Education,Secondary teacher education,3,10685,55043.998309,41294.626305,73917.273674,953559,62602.825566,0.4919831914,0.4741373477,0.9750820799,0.0042072944,0.044945078,55000,41000,74000,0.0044492775,0.0418412105
,Education,Special needs education,3,11617,54350.936525,41202.26716,70200.864718,1072590,58486.141341,0.5919410026,0.5634180082,0.9738745497,0.0047324831,0.0505554887,54000,41000,70000,0.0055159859,0.0518725859
,Education,Social science or history teacher education,3,6002,52176.899064,38047.348617,72265.596033,539979,62799.067326,0.4613049767,0.440346046,0.971891414,0.0023824961,0.0254513861,52000,38000,72000,0.0025670578,0.0241407299
,Education,Teacher education: multiple levels,3,4705,48915.842872,36881.824823,63080.912598,418324,52451.398139,0.4562516136,0.4312250126,0.9775857328,0.0018457298,0.0197172957,49000,37000,63000,0.0020349001,0.019136294
,Education,Language and drama education,3,9048,51924.673471,39132.674298,69569.198752,823703,57698.725488,0.5461653047,0.5117621813,0.9685806513,0.0036343436,0.0388244415,52000,39000,70000,0.0043042527,0.0404773913
,Education,Art and music education,3,11013,50585.917223,35301.175188,68254.557903,1030399,55285.84159,0.456139806,0.4313815218,0.9742155996,0.0045463279,0.0485668568,51000,35000,68000,0.0051744513,0.0486607785
,Education,Miscellaneous education,3,12503,57071.022926,41294.626305,79352.367326,1118439,65205.819941,0.5400696864,0.528182953,0.9690662151,0.0049347782,0.0527165368,57000,41000,79000,0.0051227403,0.048174486
,Health,Nutrition sciences,3,3738,54715.379853,36132.798016,82565.997463,382044,69987.147023,0.4413601575,0.4101083855,0.9654454775,0.0016856551,0.0229165909,55000,36000,83000,0.0019552291,0.0263461202
,Health,Communication disorders sciences and services,3,8750,60873.048908,44191.211465,81394.725933,840783,69719.359582,0.7893368443,0.7590162876,0.9811673227,0.003709704,0.0504336675,61000,44000,81000,0.0043215524,0.05823161
,Health,Health and medical administrative services,3,6898,57993.742227,39132.674298,87499.330378,705302,71608.006983,0.2955499914,0.2844534963,0.9563772736,0.0031119345,0.0423069527,58000,39000,87000,0.0029658734,0.039964246
,Health,Health and medical preparatory programs,3,3719,97831.685745,47505.552325,195663.37149,396168,144451.21426,0.8113022758,0.7654124778,0.9709335783,0.001747973,0.0237638073,98000,48000,196000,0.0016971039,0.0228679606
,Health,Nursing,3,85500,70087.221137,51618.282881,91569.066675,8892487,77607.713425,0.2533793977,0.2382845771,0.9799967916,0.0392354439,0.5334084215,70000,52000,92000,0.0388363335,0.5233078282
,Health,Pharmacy and pharmaceutical sciences and administration,3,12132,111188.87658,76091.311135,133828.33579,1225811,116768.81084,0.5508818244,0.5285164246,0.9758863749,0.005408525,0.0735292512,111000,76000,134000,0.0050787822,0.0684350513
,Health,Treatment therapy professions,3,16140,66133.214821,44191.211465,88070.397294,1644335,74666.775521,0.4228475341,0.3964577316,0.9823726198,0.0072551372,0.0986340646,66000,44000,88000,0.0075318142,0.101488915
,Health,Miscellaneous health medical professions,3,25025,59011.176302,40697.362967,83621.618267,2584136,71262.821789,0.3540785005,0.334486827,0.9674969609,0.0114017286,0.1550072443,59000,41000,84000,0.0118264825,0.1593582687
,Humanities and liberal arts,Area ethnic and civilization studies,3,6777,59011.176302,37562.529745,97673.67112,658482,82834.869143,0.4930537205,0.4668824769,0.9502710168,0.0029053552,0.0332463435,59000,38000,98000,0.0032330155,0.0339760335
,Humanities and liberal arts,Linguistics and comparative language and literature,3,3631,53742.087599,33143.408599,83666.877429,381414,69394.712213,0.4925723754,0.4587112344,0.9401208853,0.0016828754,0.0192573538,54000,33000,84000,0.0020910551,0.0219750755
,Humanities and liberal arts,"French, german, latin and other common foreign language studies",3,12470,56069.77691,38047.348617,86481.896304,1222845,73900.491391,0.4964946498,0.468228747,0.9581639429,0.0053954385,0.0617406777,56000,38000,86000,0.0062352949,0.0655272415
,Humanities and liberal arts,Other foreign languages,3,3071,56069.77691,34784.599376,89487.203216,301564,78253.459618,0.4822027828,0.4425021754,0.949925469,0.0013305611,0.0152257774,56000,35000,89000,0.0016219272,0.0170449706
,Humanities and liberal arts,English language and literature,3,57808,56069.77691,37165.163674,87751.080897,5762702,75700.816508,0.4532203817,0.4333535814,0.9532593095,0.025426202,0.2909552125,56000,37000,88000,0.0285002238,0.2995112643
,Humanities and liberal arts,Composition and speech,3,3019,47337.838545,31939.747918,73255.25334,304846,61280.928113,0.3153723519,0.3114444107,0.938848231,0.001345042,0.0153914835,47000,32000,73000,0.0015059852,0.0158265263
,Humanities and liberal arts,Liberal arts,3,26702,54350.936525,35043.610569,82589.252609,2837108,70295.121225,0.2629276009,0.2551842423,0.9494740524,0.012517892,0.1432438049,54000,35000,83000,0.0138022542,0.1450490581
,Humanities and liberal arts,Humanities,3,2211,53581.843901,33143.408599,82102.173332,218729,69603.67504,0.3769459011,0.3464577807,0.930119893,0.0009650764,0.0110434901,54000,33000,82000,0.0011350825,0.0119286779
,Humanities and liberal arts,Multi/interdisciplinary studies,3,2563,48263.631634,35610.192596,64098.346672,239067,56227.149313,0.282544224,0.2662333305,0.9509937415,0.0010548118,0.012070343,48000,36000,64000,0.001121816,0.0117892595
,Humanities and liberal arts,Intercultural and international studies,3,3418,55849.620446,36329.038884,88070.397294,344368,77891.241394,0.4401570413,0.4173694105,0.9467566514,0.001519421,0.0173869245,56000,36000,88000,0.0016866067,0.017724693
,Humanities and liberal arts,Philosophy and religious studies,3,14436,55958.874079,33778.811262,91569.066675,1424523,80682.981706,0.5565392767,0.5254216613,0.9523165804,0.0062852824,0.0719232735,56000,34000,92000,0.0065818099,0.0691687974
,Humanities and liberal arts,Theology and religious vocations,3,13746,44035.198647,29173.319104,64079.74504,1299459,53147.744722,0.4190997946,0.3977289474,0.9668569225,0.0057334749,0.0656088705,44000,29000,64000,0.0058310535,0.0612790343
,Humanities and liberal arts,Art history and criticism,3,4447,51634.554752,33026.398985,82193.781034,440836,72806.701243,0.4152179042,0.3924921549,0.946695479,0.0019450572,0.0222575334,52000,33000,82000,0.0023516738,0.0247139385
,Humanities and liberal arts,History,3,44420,61941.939457,38667.310032,100180.07692,4370205,88423.414542,0.4776041399,0.4568116045,0.9560608314,0.0192822247,0.2206489116,62000,39000,100000,0.0194579677,0.2044854294
,"Industrial arts, consumer services, and recreation",Family and consumer sciences,3,15514,46471.099277,32139.875917,67391.597484,1507866,55731.103543,0.3026648257,0.2780457122,0.9616429128,0.0066530085,0.2932557628,46000,32000,67000,0.0081124933,0.3452286669
,"Industrial arts, consumer services, and recreation",Military technologies,3,187,80099.6813,40697.362967,108398.39405,21392,104429.77187,0.417539267,0.4017192189,0.9582230223,0.0000943858,0.004160401,80000,41000,108000,0.0000846451,0.0036020864
,"Industrial arts, consumer services, and recreation","Physical fitness, parks, recreation, and leisure",3,20444,50062.300812,34784.599376,72265.596033,2118328,61293.41075,0.3011615765,0.289665635,0.9674294078,0.0093464898,0.4119808348,50000,35000,72000,0.0093050513,0.3959781929
,"Industrial arts, consumer services, and recreation",Miscellaneous industrial arts and consumer services,3,7297,61046.04445,38197.529332,91569.066675,799207,74049.877397,0.1071987608,0.1151176401,0.9549563796,0.0035262623,0.1554329485,61000,38000,92000,0.0032314536,0.1375151116
,"Industrial arts, consumer services, and recreation",Transportation sciences and technologies,3,6728,77061.597632,47310.684449,110087.99662,695019,88582.699604,0.1770987556,0.1738042121,0.9672799616,0.0030665638,0.1351700529,77000,47000,110000,0.002765255,0.1176759422
,Law and public policy,Pre-law and legal studies,3,3898,55068.530894,36881.824823,86481.896304,437940,74176.443425,0.3408115267,0.3158357045,0.9422548463,0.0019322795,0.0791061586,55000,37000,86000,0.0019387825,0.0855636416
,Law and public policy,Criminal justice and fire protection,3,42784,55747.745511,38047.348617,82589.252609,4580165,66645.384717,0.2113919477,0.2099494879,0.9589590216,0.0202086106,0.8273262519,56000,38000,83000,0.0185145245,0.8170953437
,Law and public policy,Public administration,3,3646,66286.817197,43480.74922,100124.60162,384335,81514.881988,0.469827104,0.4537011523,0.947706418,0.0016957634,0.0694233581,66000,43000,100000,0.0016162067,0.0713275106
